step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,memory_pct,network_pct,oom_kills,pending_pods,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
59,9,8,8.1,37.8,604,1.0,256.5,1,14.1,1.5,0,1,ppo,rl_v2,0,0
60,8,8,17.6,47.6,704,1.0,260.5,1,14.0,1.7,0,0,ppo,rl_v2,0,0
61,8,8,20.7,48.6,719,1.0,264.5,0,13.8,1.8,0,0,ppo,rl_v2,0,0
62,9,8,25.8,46.6,745,1.0,268.5,1,13.9,1.8,0,1,ppo,rl_v2,0,0
63,9,8,34.8,49.7,795,1.0,272.5,0,14.1,2.0,0,1,ppo,rl_v2,0,0
64,9,9,19.9,47.2,793,1.0,277.0,0,14.2,1.7,0,0,ppo,rl_v2,0,0
65,9,9,11.8,43.7,734,1.0,281.5,0,13.8,1.6,0,0,ppo,rl_v2,0,0
66,9,9,8.5,39.6,712,1.0,286.0,0,13.9,1.6,0,0,ppo,rl_v2,0,0
67,9,9,9.0,39.0,702,1.0,290.5,0,13.6,1.5,0,0,ppo,rl_v2,0,0
68,9,9,9.4,40.6,730,1.0,295.0,0,13.7,1.6,0,0,ppo,rl_v2,0,0
69,8,8,8.1,39.1,625,1.0,299.0,1,13.7,1.5,0,0,ppo,rl_v2,0,0
70,9,8,18.4,43.4,695,1.0,303.0,1,14.0,1.7,0,1,ppo,rl_v2,0,0
71,9,8,8.1,38.6,618,1.0,307.0,0,13.7,1.5,0,1,ppo,rl_v2,0,0
72,9,8,8.6,34.8,556,1.0,311.0,0,14.0,1.4,0,1,ppo,rl_v2,0,0
73,9,8,8.0,36.8,589,1.0,315.0,0,13.5,1.4,0,1,ppo,rl_v2,0,0
74,8,7,8.0,37.4,523,1.0,318.5,1,13.7,1.5,0,1,ppo,rl_v2,0,0
75,8,7,16.9,43.4,607,1.0,322.0,0,13.7,1.7,0,1,ppo,rl_v2,0,0
76,8,8,33.4,53.6,794,1.0,326.0,0,13.8,2.0,0,0,ppo,rl_v2,0,0
77,9,8,46.6,60.1,890,0.9888,330.0,1,14.3,2.2,0,1,ppo,rl_v2,0,0
78,9,8,69.9,64.6,1034,0.9708,334.0,0,14.2,2.5,0,1,ppo,rl_v2,0,0
79,12,9,87.2,78.8,1323,0.953,338.5,1,14.9,2.9,0,3,ppo,rl_v2,0,0
80,12,12,33.0,60.0,1152,1.0,344.5,0,14.4,1.9,0,0,ppo,rl_v2,0,0
81,12,12,12.4,48.1,982,1.0,350.5,0,13.6,1.6,0,0,ppo,rl_v2,0,0
82,9,9,25.9,47.1,847,1.0,355.0,1,13.8,1.9,0,0,ppo,rl_v2,0,0
83,9,9,23.2,45.7,823,1.0,359.5,0,13.8,1.8,0,0,ppo,rl_v2,0,0
84,9,9,29.3,48.2,868,1.0,364.0,0,14.2,1.9,0,0,ppo,rl_v2,0,0
85,9,9,63.8,58.7,1056,0.9827,368.5,0,14.7,2.3,0,0,ppo,rl_v2,0,0
86,9,9,46.6,54.4,980,0.9911,373.0,0,14.0,2.1,0,0,ppo,rl_v2,0,0
87,9,9,36.8,50.9,916,0.9982,377.5,0,14.3,2.0,0,0,ppo,rl_v2,0,0
88,9,9,49.0,54.7,985,0.9906,382.0,0,14.1,2.2,0,0,ppo,rl_v2,0,0
89,9,9,44.5,53.2,958,0.9936,386.5,0,13.9,2.1,0,0,ppo,rl_v2,0,0
