step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,memory_pct,network_pct,oom_kills,pending_pods,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
57,12,12,71.1,61.5,1475,0.9771,312.5,0,14.5,2.4,0,0,dqn,rl_v2,0,0
58,12,12,106.2,74.3,1784,0.9513,318.5,0,14.9,2.9,0,0,dqn,rl_v2,0,0
59,12,12,77.8,65.1,1563,0.9698,324.5,0,14.6,2.6,0,0,dqn,rl_v2,0,0
60,12,12,9.2,35.9,861,1.0,330.5,0,13.4,1.4,0,0,dqn,rl_v2,0,0
61,12,12,32.6,47.6,1143,1.0,336.5,0,13.9,1.9,0,0,dqn,rl_v2,0,0
62,12,12,83.9,68.2,1637,0.9636,342.5,0,14.7,2.7,0,0,dqn,rl_v2,0,0
63,12,12,12.8,41.0,985,1.0,348.5,0,13.9,1.6,0,0,dqn,rl_v2,0,0
64,12,12,132.8,81.0,1945,0.9379,354.5,0,15.2,3.2,0,0,dqn,rl_v2,0,0
65,12,12,34.9,50.7,1218,0.9985,360.5,0,13.9,2.0,0,0,dqn,rl_v2,0,0
66,12,12,63.2,58.6,1406,0.9828,366.5,0,14.3,2.3,0,0,dqn,rl_v2,0,0
67,12,12,80.2,66.2,1589,0.9676,372.5,0,14.6,2.6,0,0,dqn,rl_v2,0,0
68,12,12,8.3,34.1,819,1.0,378.5,0,13.4,1.3,0,0,dqn,rl_v2,0,0
69,12,12,8.9,22.1,531,1.0,384.5,0,13.1,0.9,0,0,dqn,rl_v2,0,0
70,12,12,71.8,60.9,1462,0.9782,390.5,0,14.5,2.4,0,0,dqn,rl_v2,0,0
71,5,5,116.7,90.5,905,0.919,393.0,1,15.4,1.8,0,0,dqn,rl_v2,0,0
72,12,5,5000.0,100.0,1801,0.5657,395.5,1,18.2,3.5,0,7,dqn,rl_v2,0,0
73,12,9,10.6,24.1,318,1.0,400.0,0,13.4,0.6,0,3,dqn,rl_v2,0,0
74,12,10,10.0,56.4,789,1.0,405.0,0,14.1,1.3,0,2,dqn,rl_v2,0,0
75,5,5,110.1,99.2,754,0.9492,407.5,1,16.2,1.5,0,0,dqn,rl_v2,0,0
76,8,5,3264.9,100.0,1191,0.7629,410.0,1,15.7,2.3,0,3,dqn,rl_v2,0,0
77,12,8,75.5,82.6,1024,0.972,414.0,1,15.7,1.7,0,4,dqn,rl_v2,0,0
78,12,12,94.2,96.6,1507,0.9744,420.0,0,15.1,2.5,0,0,dqn,rl_v2,0,0
79,12,12,93.6,86.3,1657,0.9619,426.0,0,14.7,2.7,0,0,dqn,rl_v2,0,0
80,12,12,97.7,73.0,1752,0.954,432.0,0,14.5,2.9,0,0,dqn,rl_v2,0,0
81,12,12,9.3,30.3,728,1.0,438.0,0,13.3,1.2,0,0,dqn,rl_v2,0,0
82,12,12,8.6,36.4,874,1.0,444.0,0,13.8,1.4,0,0,dqn,rl_v2,0,0
83,12,12,36.4,48.3,1160,1.0,450.0,0,14.0,1.9,0,0,dqn,rl_v2,0,0
