step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,memory_pct,network_pct,oom_kills,pending_pods,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
57,9,9,111.5,81.9,1475,0.9361,296.5,1,14.8,3.2,0,0,ppo,rl_v2,0,0
58,12,9,162.0,99.1,1784,0.9018,301.0,1,15.4,3.9,0,3,ppo,rl_v2,0,0
59,12,12,80.7,76.6,1563,0.9698,307.0,0,15.0,2.6,0,0,ppo,rl_v2,0,0
60,12,12,9.5,42.2,861,1.0,313.0,0,13.4,1.4,0,0,ppo,rl_v2,0,0
61,12,12,29.5,47.6,1143,1.0,319.0,0,13.8,1.9,0,0,ppo,rl_v2,0,0
62,9,9,137.7,90.9,1637,0.9181,323.5,1,15.1,3.6,0,0,ppo,rl_v2,0,0
63,9,9,49.1,54.7,985,0.9906,328.0,0,14.4,2.2,0,0,ppo,rl_v2,0,0
64,12,9,447.3,100.0,1945,0.8873,332.5,1,15.8,4.2,0,3,ppo,rl_v2,0,0
65,12,12,42.3,59.7,1218,0.9985,338.5,0,14.7,2.0,0,0,ppo,rl_v2,0,0
66,12,12,62.5,68.9,1406,0.9828,344.5,0,14.1,2.3,0,0,ppo,rl_v2,0,0
67,9,9,144.9,88.3,1589,0.9234,349.0,1,15.1,3.5,0,0,ppo,rl_v2,0,0
68,12,9,22.6,45.5,819,1.0,353.5,1,14.0,1.8,0,3,ppo,rl_v2,0,0
69,12,10,8.8,28.2,531,1.0,358.5,0,13.3,1.0,0,2,ppo,rl_v2,0,0
70,9,9,125.8,93.7,1462,0.9376,363.0,1,15.9,3.2,0,0,ppo,rl_v2,0,0
71,8,8,52.9,61.1,905,0.9869,367.0,1,14.6,2.2,0,0,ppo,rl_v2,0,0
72,12,8,594.7,100.0,1801,0.8796,371.0,1,15.8,4.4,0,4,ppo,rl_v2,0,0
73,12,10,9.2,18.1,318,1.0,376.0,0,13.0,0.6,0,2,ppo,rl_v2,0,0
74,12,11,8.4,42.9,789,1.0,381.5,0,13.7,1.4,0,1,ppo,rl_v2,0,0
75,8,8,29.4,50.9,754,1.0,385.5,1,14.3,1.9,0,0,ppo,rl_v2,0,0
76,9,8,96.4,80.5,1191,0.9511,389.5,1,14.6,2.9,0,1,ppo,rl_v2,0,0
77,9,8,69.3,64.0,1024,0.972,393.5,0,14.3,2.5,0,1,ppo,rl_v2,0,0
78,12,9,126.8,89.7,1507,0.9326,398.0,1,15.4,3.3,0,3,ppo,rl_v2,0,0
79,12,11,121.1,90.1,1657,0.9494,403.5,0,15.5,3.0,0,1,ppo,rl_v2,0,0
80,12,11,113.6,89.4,1752,0.9407,409.0,0,14.9,3.1,0,1,ppo,rl_v2,0,0
81,12,11,8.6,33.1,728,1.0,414.5,0,13.6,1.3,0,1,ppo,rl_v2,0,0
82,12,11,9.3,39.7,874,1.0,420.0,0,13.7,1.6,0,1,ppo,rl_v2,0,0
83,8,8,98.8,78.4,1160,0.955,424.0,1,15.3,2.9,0,0,ppo,rl_v2,0,0
