step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,memory_pct,network_pct,oom_kills,pending_pods,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
59,8,8,8.5,25.9,414,1.0,241.0,0,13.1,0.7,0,0,ppo,rl_v2,0,0
60,8,8,8.8,32.2,515,1.0,245.0,0,13.8,0.8,0,0,ppo,rl_v2,0,0
61,8,8,8.1,35.9,575,1.0,249.0,0,13.4,0.9,0,0,ppo,rl_v2,0,0
62,8,8,8.6,37.7,603,1.0,253.0,0,13.7,1.0,0,0,ppo,rl_v2,0,0
63,8,8,23.2,45.0,720,1.0,257.0,0,14.0,1.2,0,0,ppo,rl_v2,0,0
64,8,8,20.4,43.9,702,1.0,261.0,0,14.0,1.2,0,0,ppo,rl_v2,0,0
65,9,8,14.9,43.1,689,1.0,265.0,1,14.1,1.1,0,1,ppo,rl_v2,0,0
66,9,9,8.3,38.2,641,1.0,269.5,0,13.6,1.2,0,0,ppo,rl_v2,0,0
67,9,9,9.2,36.8,618,1.0,274.0,0,13.5,1.1,0,0,ppo,rl_v2,0,0
68,8,8,19.3,43.8,701,1.0,278.0,1,13.9,1.1,0,0,ppo,rl_v2,0,0
69,8,8,9.3,39.1,625,1.0,282.0,0,13.5,1.0,0,0,ppo,rl_v2,0,0
70,9,8,17.9,43.2,692,1.0,286.0,1,13.9,1.1,0,1,ppo,rl_v2,0,0
71,9,8,8.7,38.2,612,1.0,290.0,0,13.9,1.0,0,1,ppo,rl_v2,0,0
72,9,8,8.2,36.2,579,1.0,294.0,0,13.7,0.9,0,1,ppo,rl_v2,0,0
73,8,8,8.4,42.9,635,1.0,298.0,1,13.9,1.0,0,0,ppo,rl_v2,0,0
74,8,8,8.6,41.5,614,1.0,302.0,0,13.5,1.0,0,0,ppo,rl_v2,0,0
75,9,8,20.1,45.2,723,1.0,306.0,1,14.1,1.2,0,1,ppo,rl_v2,0,0
76,9,8,66.6,62.5,1000,0.975,310.0,0,14.6,1.6,0,1,ppo,rl_v2,0,0
77,9,9,76.1,69.6,1169,0.9701,314.5,0,14.7,2.1,0,0,ppo,rl_v2,0,0
