step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,memory_pct,network_pct,oom_kills,pending_pods,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
59,12,6,8.6,38.3,414,1.0,216.5,1,13.8,0.7,0,6,dqn,rl_v2,0,0
60,12,8,10.2,41.5,515,1.0,220.5,0,13.7,0.8,0,4,dqn,rl_v2,0,0
61,12,10,9.6,37.8,575,1.0,225.5,0,13.7,0.9,0,2,dqn,rl_v2,0,0
62,12,12,9.6,31.4,603,1.0,231.5,0,13.4,1.0,0,0,dqn,rl_v2,0,0
63,6,6,59.0,60.0,720,0.98,234.5,1,14.4,1.2,0,0,dqn,rl_v2,0,0
64,7,6,52.1,58.5,702,0.983,237.5,1,14.0,1.2,0,1,dqn,rl_v2,0,0
65,12,7,31.7,53.8,689,1.0,241.0,1,14.4,1.3,0,5,dqn,rl_v2,0,0
66,12,9,9.5,44.5,641,1.0,245.5,0,13.9,1.2,0,3,dqn,rl_v2,0,0
67,12,11,9.3,35.9,618,1.0,251.0,0,13.5,1.1,0,1,dqn,rl_v2,0,0
68,12,11,9.5,35.8,701,1.0,256.5,0,13.4,1.3,0,1,dqn,rl_v2,0,0
69,12,12,9.5,27.4,625,1.0,262.5,0,13.4,1.0,0,0,dqn,rl_v2,0,0
70,7,7,32.8,49.4,692,1.0,266.0,1,13.8,1.3,0,0,dqn,rl_v2,0,0
71,6,6,33.7,51.0,612,0.998,269.0,1,13.7,1.0,0,0,dqn,rl_v2,0,0
72,12,6,29.7,48.2,579,1.0,272.0,1,13.8,0.9,0,6,dqn,rl_v2,0,0
73,12,10,9.4,41.8,635,1.0,277.0,0,13.9,1.0,0,2,dqn,rl_v2,0,0
74,12,11,9.6,38.4,614,1.0,282.5,0,13.3,1.1,0,1,dqn,rl_v2,0,0
75,12,11,9.0,34.8,723,1.0,288.0,0,13.2,1.3,0,1,dqn,rl_v2,0,0
76,12,12,13.7,43.9,1000,1.0,294.0,0,14.0,1.6,0,0,dqn,rl_v2,0,0
77,12,12,32.1,51.3,1169,1.0,300.0,0,14.1,1.9,0,0,dqn,rl_v2,0,0
78,12,12,56.4,57.5,1379,0.9851,306.0,0,14.3,2.3,0,0,dqn,rl_v2,0,0
79,12,12,96.7,73.5,1764,0.953,312.0,0,14.6,2.9,0,0,dqn,rl_v2,0,0
80,12,12,81.1,65.8,1578,0.9685,318.0,0,14.4,2.6,0,0,dqn,rl_v2,0,0
81,12,12,59.4,59.4,1426,0.9812,324.0,0,14.2,2.3,0,0,dqn,rl_v2,0,0
82,12,12,45.2,52.0,1247,0.9961,330.0,0,14.3,2.0,0,0,dqn,rl_v2,0,0
83,12,12,41.8,51.7,1240,0.9967,336.0,0,14.2,2.0,0,0,dqn,rl_v2,0,0
