mean,p50,p90,p99,replicas,cpu_mc,mem_mib,scales,cost_usd,success,dec_s,model,variant,cls,reps,reps_n
7.409166666666667,5.9025,12.572222222222223,20.759722222222223,8.0,25.380555555555556,88.0,1.0,700.7999999999998,100.0,,rl-ppo,baseline,rl,3/3,3
7.474166666666666,5.912222222222222,13.01611111111111,20.864722222222223,2.4555555555555557,21.58888888888889,27.13333333333333,0.3333333333333333,215.17932731747328,100.0,0.8935330555555555,mistral-small4,zero_shot,llm,3/3,3
7.539166666666667,5.905833333333333,13.348333333333334,20.86861111111111,2.6666666666666665,22.316666666666666,29.397222222222222,0.3333333333333333,233.6,100.0,0.8633702777777775,mistral-small4,history_5,llm,3/3,3
12.841111111111113,12.03138888888889,17.285833333333333,22.352500000000003,1.0944444444444443,37.0,12.83611111111111,5.666666666666667,96.15713720797943,100.0,0.7806100470168497,gpt-oss-120b,zero_shot,llm,3/3,3
13.27111111111111,12.477777777777776,18.174999999999997,22.531666666666666,7.572222222222223,19.13611111111111,82.99722222222222,24.333333333333332,631.815333156078,100.0,137.27245786187925,llama-70b,history_5,llm,3/3,3
13.880277777777778,13.694444444444443,18.746666666666666,22.642222222222216,3.0,25.869444444444444,33.03611111111112,0.0,262.8,100.0,36.86570066067218,llama-70b,zero_shot,llm,3/3,3
16.150277777777777,15.686944444444444,20.708333333333332,23.475833333333338,1.0,45.88611111111111,11.408333333333331,1.0,87.59999999999998,100.0,,hpa,baseline,baseline,3/3,3
21.606111111111115,22.72861111111111,23.222222222222218,23.768611111111113,1.6833333333333333,61.37222222222223,18.95,34.0,147.7023146169844,100.0,0.622153955333297,gpt-oss-120b,history_5,llm,3/3,3
8.78888888888889,6.850833333333334,15.791666666666666,24.007500000000004,3.0,30.16944444444444,33.0,0.0,262.8,100.0,0.1053811111111111,llama-8b,domain,llm,3/3,3
12.62638888888889,11.723888888888892,18.55138888888889,24.709444444444443,3.0,41.56666666666667,33.0,0.0,262.8,100.0,0.09979138888888889,llama-8b,zero_shot,llm,3/3,3
11.185,9.886111111111111,17.99388888888889,24.90138888888889,3.0,37.25833333333333,33.458333333333336,0.0,262.79999999999995,100.0,0.37894805555555555,llama-8b,cot,llm,3/3,3
9.695277777777777,7.663888888888889,17.549444444444443,24.929999999999996,7.905555555555556,36.172222222222224,81.6138888888889,14.666666666666666,692.4344489250878,100.0,0.1099986111111111,llama-8b,history_5,llm,3/3,3
13.468888888888891,12.165000000000001,22.836944444444445,26.066111111111113,11.225,46.66111111111112,70.15555555555555,11.0,981.2859937627044,100.0,,rl-dqn,baseline,rl,3/3,3
51.07138888888889,42.265277777777776,81.2527777777778,147.00583333333336,13.566666666666668,674.425,150.0388888888889,22.0,1188.0896604546745,100.0,,keda,baseline,baseline,3/3,3
51.38388888888889,42.636944444444445,80.98555555555555,157.72861111111112,9.416666666666666,660.6277777777777,103.06388888888888,4.0,824.9061431338819,100.0,1.0553575,mistral-small4,cot,llm,3/3,3
52.003611111111105,42.6225,82.96111111111111,164.19694444444443,7.422222222222222,664.0305555555555,82.13888888888887,21.666666666666668,652.8832416219369,100.0,0.9040755555555555,mistral-small4,domain,llm,3/3,3
52.65,42.18361111111111,86.34250000000002,171.3236111111111,6.8,193.46944444444443,76.83055555555555,5.666666666666667,548.106106923462,100.0,226.9246034835888,llama-70b,cot,llm,3/3,3
59.586388888888884,42.1875,110.32305555555554,240.16805555555553,7.066666666666667,662.6999999999999,79.06666666666666,36.333333333333336,617.6015318673918,100.0,1.3882712142257434,gpt-oss-120b,domain,llm,3/3,3
95.00555555555555,67.84472222222222,195.2686111111111,352.2716666666667,5.586111111111111,316.7416666666667,65.08055555555556,18.666666666666668,505.4418224639455,99.8611111111111,53.187645024878826,llama-70b,domain,llm,3/3,3
431.1383333333333,339.3172222222222,977.3677777777776,1343.8277777777778,5.0055555555555555,684.9722222222222,58.39722222222222,92.0,464.56893766074626,94.63888888888887,1.2241288682756324,gpt-oss-120b,cot,llm,3/3,3
