mean,p50,p90,p99,replicas,cpu_mc,mem_mib,scales,cost_usd,success,dec_s,model,variant,cls,reps,reps_n
10.364444444444445,8.33361111111111,19.402222222222218,23.0325,1.0361111111111112,17.866666666666667,11.744444444444445,3.6666666666666665,90.7804156850426,100.0,2.073921388888889,gpt-oss-120b,zero_shot,llm,3/3,3
9.177777777777779,7.2275,17.04527777777778,23.336388888888887,8.0,23.280555555555555,87.84722222222223,1.0,700.7999999999998,100.0,,rl-ppo,baseline,rl,3/3,3
13.685277777777777,13.129444444444445,22.015555555555554,23.744444444444444,1.4166666666666667,24.405555555555555,15.89722222222222,30.333333333333332,124.58457240167273,100.0,26.30300944444444,gpt-oss-120b,history_5,llm,3/3,3
15.932222222222224,15.455,23.419166666666666,26.406944444444445,7.099999999999999,37.63611111111111,60.07222222222222,5.0,623.4541902057498,100.0,,rl-dqn,baseline,rl,3/3,3
29.31861111111111,27.56888888888889,34.67805555555555,48.294444444444444,4.808333333333333,134.13055555555556,50.67222222222222,8.0,398.777793917328,100.0,55.06351055555556,llama-70b,cot,llm,3/3,3
24.952777777777772,19.569166666666664,42.94333333333333,63.84611111111111,5.552777777777777,179.93611111111113,61.111111111111114,4.0,486.11955031532756,100.0,0.744555,mistral-small4,history_5,llm,3/3,3
39.878055555555555,36.31972222222222,54.29083333333333,75.41833333333334,8.752777777777778,153.05555555555557,97.09722222222223,23.666666666666668,776.514420504472,100.0,44.14566555555555,llama-70b,history_5,llm,3/3,3
31.813888888888894,20.25694444444444,69.65472222222222,88.39166666666667,6.477777777777778,181.1777777777778,72.66111111111111,1.0,567.2994102317925,99.91666666666667,0.7416347222222223,mistral-small4,zero_shot,llm,3/3,3
46.341944444444444,37.54277777777778,75.87277777777776,111.0236111111111,12.480555555555554,354.5694444444445,139.10555555555558,63.333333333333336,1091.5229681659478,100.0,2.1841199999999996,llama-8b,history_5,llm,3/3,3
47.09388888888889,38.04333333333333,76.98722222222223,123.25833333333334,6.7250000000000005,188.55555555555554,75.6361111111111,1.6666666666666667,585.8795560339917,100.0,45.74066555555555,llama-70b,zero_shot,llm,3/3,3
46.84861111111112,37.76305555555555,77.08055555555555,123.67416666666668,5.463888888888889,342.96944444444443,61.161111111111104,3.6666666666666665,477.8587231575221,100.0,1.09069,llama-8b,zero_shot,llm,3/3,3
52.842222222222226,45.178333333333335,80.24805555555555,126.76277777777777,6.391666666666666,422.69722222222225,71.24444444444444,18.0,568.1203846739527,100.0,4.995672777777778,mistral-small4,domain,llm,3/3,3
55.702777777777776,45.06916666666667,92.20277777777778,137.21833333333333,7.341666666666668,465.2416666666666,81.8,4.0,642.6411645195687,99.97222222222223,0.7334547222222222,mistral-small4,cot,llm,3/3,3
59.95638888888889,47.56388888888889,103.1586111111111,156.58833333333334,11.644444444444446,507.0,129.34722222222223,8.333333333333334,1018.1691842728947,100.0,1.6311169444444442,llama-8b,domain,llm,3/3,3
59.99472222222223,47.50194444444444,102.99333333333334,157.97166666666664,12.191666666666668,516.8444444444444,135.76388888888889,53.0,1068.72647270883,100.0,,keda,baseline,baseline,3/3,3
58.18638888888889,46.74555555555556,97.12694444444445,158.56305555555556,5.461111111111111,254.50833333333333,61.37777777777777,11.0,493.5296598256917,100.0,64.01113388888889,llama-70b,domain,llm,3/3,3
69.88083333333333,57.01361111111112,130.6625,185.93444444444444,12.519444444444446,487.05277777777775,138.96388888888887,15.333333333333334,1098.434407378669,99.75,3.980196666666666,llama-8b,cot,llm,3/3,3
108.4213888888889,91.2788888888889,219.6027777777778,338.61972222222226,5.316666666666667,387.0249999999999,60.27777777777777,51.333333333333336,472.2169011450514,98.94444444444446,16.252604166666664,gpt-oss-120b,domain,llm,3/3,3
106.08805555555557,60.4761111111111,251.8161111111111,494.87916666666666,2.0638888888888887,358.59999999999997,25.875,27.666666666666668,180.90025076198322,99.44444444444444,,hpa,baseline,baseline,3/3,3
522.3163888888889,406.4280555555556,1233.9111111111108,1610.2630555555554,4.675,547.3527777777778,54.42777777777778,92.33333333333333,434.88452691806737,93.19444444444444,1.5470041639921772,gpt-oss-120b,cot,llm,3/3,3
