algo,n_seeds,medoid_seed,sla_pct_mean,sla_pct_std,mean_lat_mean,mean_lat_std,cost_mean,cost_std,scales_mean,scales_std,min_succ_mean,min_succ_std,mean_rep_mean,mean_rep_std
DQN,5,0,99.889,0.062,102.463,4.305,1564.85,59.453,183.4,24.714,0.999,0.0,4.347,0.165
PPO,5,1,99.125,0.424,78.932,6.055,1919.9,141.985,11.8,4.764,0.995,0.007,5.333,0.394
